electrode,j,T,V_rev,eta_act,eta_ohm,eta_conc,V_cell,model_act,j0_T,r_total,j_lim,electrode_label
Ni-HER,0.7979591836734694,333.0,1.25943737599895,0.07698091167779116,0.0467553835047793,0.0018373956089439618,1.3850110667904643,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.8181632653061225,333.0,1.25943737599895,0.07769843264511855,0.047939215465642,0.0018871141164170868,1.3869621382261277,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.8383673469387755,333.0,1.25943737599895,0.07839844918731535,0.04912304742650469,0.0019370055087716393,1.3888958781215417,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.8585714285714285,333.0,1.25943737599895,0.07908179506980484,0.050306879387367394,0.001987070992540546,1.3908131214486625,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.8787755102040816,333.0,1.25943737599895,0.07974924587061755,0.05149071134823009,0.0020373117869312463,1.3927146450047287,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.8989795918367347,333.0,1.25943737599895,0.08040152427195608,0.05267454330909279,0.002087729124003835,1.3946011727040024,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.9191836734693877,333.0,1.25943737599895,0.08103930476358824,0.05385837526995548,0.0021383242488523554,1.396473380281346,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.9393877551020408,333.0,1.25943737599895,0.08166321783481768,0.05504220723081818,0.002189098419789301,1.398331899484375,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.959591836734694,333.0,1.25943737599895,0.08227385372034549,0.05622603919168089,0.0022400529085333854,1.4001773218195097,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.9797959183673469,333.0,1.25943737599895,0.08287176575580718,0.05740987115254358,0.0022911890004006738,1.4020102019077012,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,1.0,333.0,1.25943737599895,0.08345747339079772,0.05859370311340628,0.0023425079944991065,1.4038310604976532,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Pt-ref,0.01,298.0,1.2298732968034478,0.006354852891763565,0.00090201312462653,3.221826407553266e-05,1.2371623810839134,butler-volmer,0.02,0.090201312462653,3.9902653971846744,B
Pt-ref,0.030204081632653063,298.0,1.2298732968034478,0.017904465748828036,0.0027244478049944175,9.756002474348098e-05,1.2505997703820138,butler-volmer,0.02,0.090201312462653,3.9902653971846744,B
Pt-ref,0.05040816326530612,298.0,1.2298732968034478,0.027065112085420697,0.0045468824853623045,0.00016323601063168914,1.2616485273848623,butler-volmer,0.02,0.090201312462653,3.9902653971846744,B
Pt-ref,0.07061224489795918,298.0,1.2298732968034478,0.0342429645393258,0.006369317165730192,0.00022924965847231902,1.2707148281669762,butler-volmer,0.02,0.090201312462653,3.9902653971846744,B
